[Epoch 40/60] [lr 5e-05] [loss: 0.0232] ETA: 0:22:35.047512
[Epoch 40/60] [lr 5e-05] [loss: 0.0294] ETA: 0:22:33.611927
[Epoch 40/60] [lr 5e-05] [loss: 0.0599] ETA: 0:21:49.479070
[Epoch 40/60] [lr 5e-05] [loss: 0.0374] ETA: 0:21:04.369969
[Epoch 40/60] [lr 5e-05] [loss: 0.0361] ETA: 0:20:42.234936
[Epoch 41/60] [lr 5e-05] [loss: 0.0333] ETA: 0:16:38.686123
[Epoch 41/60] [lr 5e-05] [loss: 0.061] ETA: 0:19:43.513419
[Epoch 41/60] [lr 5e-05] [loss: 0.0265] ETA: 0:19:31.772655
[Epoch 41/60] [lr 5e-05] [loss: 0.0323] ETA: 0:20:24.471901
[Epoch 41/60] [lr 5e-05] [loss: 0.0307] ETA: 0:21:23.918383
[Epoch 41/60] [lr 5e-05] [loss: 0.0225] ETA: 0:21:07.699083
[Epoch 41/60] [lr 5e-05] [loss: 0.0396] ETA: 0:20:50.745621
[Epoch 42/60] [lr 5e-05] [loss: 0.0387] ETA: 0:17:14.648528
[Epoch 42/60] [lr 5e-05] [loss: 0.0428] ETA: 0:19:23.744453
[Epoch 42/60] [lr 5e-05] [loss: 0.0299] ETA: 0:20:44.602118
